genre,theme
Brazilian Percussion,énergique
Brazilian Post-hardcore,colère
Brazilian Post-rock,mélancolique
Brazilian Power Metal,épique
Brazilian Progressive Metal,inspirant
Brazilian Punk,colère
Brazilian Punk Rock,colère
Brazilian Reggae,relax
Brazilian Rock,mélancolique
Brazilian Rockabilly,mélancolique
Brazilian Ska,relax
Brazilian Soul,sensuel
Brazilian Stoner Rock,mélancolique
Brazilian Surf Rock,mélancolique
Brazilian Tech House,énergique
Brazilian Techno,énergique
Brazilian Thrash Metal,colère
Breakbeat,énergique
Breakcore,colère
Breaks,énergique
Brega,énergique
Brega Funk,festif
Brega Paraense,énergique
Brega Romantico,énergique
Brega Saudade,énergique
Breton Folk,mélancolique
Brighton Indie,mélancolique
Brill Building Pop,joyeux
Brisbane Indie,mélancolique
Brisbane Punk,colère
Bristol Electronic,énergique
Bristol Indie,mélancolique
Brit Funk,festif
British Alternative Rock,mélancolique
British Black Metal,sombre
British Blues,triste
British Brass Band,énergique
British Children’s Music,énergique
British Choir,énergique
British Classical Piano,calme
British Comedy,énergique
British Contemporary Classical,calme
British Country,mélancolique
British Dance Band,festif
British Death Metal,sombre
British Electroacoustic,énergique
British Experimental,énergique
British Folk,mélancolique
British Grindcore,colère
British Indie Rock,mélancolique
British Industrial,sombre
British Invasion,énergique
British Jazz,relax
British Math Rock,mélancolique
British Modern Classical,calme
British Orchestra,énergique
British Post-rock,mélancolique
British Power Metal,épique
British Singer-songwriter,énergique
British Soul,sensuel
British Soundtrack,épique
Britpop,joyeux
Britpop Revival,joyeux
Brno Indie,mélancolique
Broadway,énergique
Brockton Hip Hop,mélancolique
Broken Beat,énergique
Bronx Drill,confiant
Bronx Hip Hop,confiant
Brooklyn Drill,confiant
Brooklyn Indie,mélancolique
Brostep,énergique
Bruneian Pop,joyeux
Brutal Death Metal,sombre
Brutal Deathcore,colère
Bubble Trance,énergique
Bubblegrunge,mélancolique
Bubblegum Dance,festif
Bubblegum Pop,joyeux
Buffalo Hip Hop,confiant
Buffalo Ny Indie,mélancolique
Buffalo Ny Metal,colère
Bulgarian Electronic,énergique
Bulgarian Experimental,énergique
Bulgarian Folk,mélancolique
Bulgarian Hip Hop,confiant
Bulgarian Indie,mélancolique
Bulgarian Metal,colère
Bulgarian Pop,joyeux
Bulgarian R&b,énergique
Bulgarian Rock,mélancolique
Bulgarian Trap,confiant
Burkinabe Pop,joyeux
Burkinabe Traditional,énergique
Burmese Pop,joyeux
Burmese Traditional,énergique
Burundian Pop,joyeux
Burundian Traditional,énergique
Bury St Edmunds Indie,mélancolique
Bush Ballad,mélancolique
Byzantine,énergique
C-pop,joyeux
C64,énergique
C86,énergique
Cabaret,énergique
Cajun,énergique
Calgary Indie,mélancolique
Cali Rap,confiant
California Hardcore,colère
Calming Instrumental,énergique
Calypso,énergique
Cambodian Pop,joyeux
Cambodian Rock,mélancolique
Cambodian Traditional,énergique
Cambridge Choir,énergique
Cambridgeshire Indie,mélancolique
Cameroonian Hip Hop,confiant
Cameroonian Pop,joyeux
Campursari,énergique
Canadian Americana,mélancolique
Canadian Black Metal,sombre
Canadian Blues,triste
Canadian Ccm,énergique
Canadian Celtic,énergique
Canadian Children’s Music,énergique
Canadian Choir,énergique
Canadian Classical,calme
Canadian Classical Piano,calme
Canadian Comedy,énergique
Canadian Contemporary Country,mélancolique
Canadian Contemporary R&b,énergique
Canadian Country,mélancolique
Canadian Death Metal,sombre
Canadian Drill,confiant
Canadian Electronic,énergique
Canadian Electropop,joyeux
Canadian Experimental,énergique
Canadian Folk,mélancolique
Canadian Garage Rock,mélancolique
Canadian Hardcore,colère
Canadian Hip Hop,confiant
Canadian House,énergique
Canadian Indie,mélancolique
Canadian Indie Folk,mélancolique
Canadian Indigenous,énergique
Canadian Indigenous Hip Hop,confiant
Canadian Latin,énergique
Canadian Metal,colère
Canadian Metalcore,colère
Canadian Modern Jazz,relax
Canadian Old School Hip Hop,confiant
Canadian Pop,joyeux
Canadian Pop Punk,colère
